item_name,transaction_type,item_count,date_time
strawberries,add,20,2024-08-31 15:25:52
strawberries,add,7,2024-08-31 15:25:46
strawberries,add,6,2024-08-31 15:25:45
strawberries,add,7,2024-08-31 15:25:42
strawberries,add,6,2024-08-31 15:25:40
strawberries,add,6,2024-08-31 15:25:38
strawberries,add,7,2024-08-31 15:25:35
strawberries,add,8,2024-08-31 15:25:28
strawberries,add,4,2024-08-31 15:25:26
strawberries,add,6,2024-08-31 15:25:22
fries,add,8,2024-08-31 15:24:41
fries,add,6,2024-08-31 15:24:37
fries,add,40,2024-08-31 15:24:30
fries,add,14,2024-08-31 15:24:20
corn,add,40,2024-08-31 15:24:03
ketchup squeezed,remove,1,2024-08-31 15:21:25
batter mix,remove,1,2024-08-31 15:21:19
mayo,remove,1,2024-08-31 15:20:51
mustard,add,4,2024-08-31 15:19:32
mayo,remove,3,2024-08-31 15:19:29
mayo,add,3,2024-08-31 15:19:27
saran wrap,add,5,2024-08-31 15:19:21
foil,add,3,2024-08-31 15:19:15
knife,add,10,2024-08-31 15:19:11
jalapeno,add,1,2024-08-31 15:17:05
chipotle sauce,add,2,2024-08-31 15:17:00
hand soap,add,1,2024-08-31 15:16:51
pot pan detergent,add,1,2024-08-31 15:16:47
forks,add,8,2024-08-31 15:16:42
gloves vinyl,add,7,2024-08-31 15:16:34
teriyaki,add,1,2024-08-31 15:16:26
gloves poly,add,3,2024-08-31 15:16:18
gloves poly,add,4,2024-08-31 15:16:16
siracha,add,4,2024-08-31 15:16:08
ketchup,add,1,2024-08-31 15:16:04
thermal foil wrap,add,5,2024-08-31 15:15:59
mayo,add,1,2024-08-31 15:15:55
salt box,add,1,2024-08-31 15:15:52
checkered basket,add,2,2024-08-31 15:15:49
200 savaday,add,4,2024-08-31 15:15:29
tortilla,add,4,2024-08-31 15:15:24
franks,add,2,2024-08-31 15:15:20
16 ounce cup,add,2,2024-08-31 15:15:16
napkins,add,3,2024-08-31 15:16:12
#1,add,5,2024-08-31 15:15:07
blueberry filling,add,4,2024-08-31 15:15:00
bleach,add,1,2024-08-31 15:14:56
paper towels,add,2,2024-08-31 15:14:52
oil,add,13,2024-08-31 15:14:47
cheese sauce,add,1,2024-08-31 15:14:40
gravy,add,10,2024-08-31 15:14:35
salt bag,add,1,2024-08-31 15:14:30
sugar,add,1,2024-08-31 15:14:27
batter mix,add,2,2024-08-31 15:14:23
prep butter,add,2,2024-08-31 15:14:15
ketchup squeezed,add,7,2024-08-31 15:14:08
lime juice,add,2,2024-08-31 15:13:43
9 ounce cups,add,2,2024-08-31 15:13:37
coleslaw dressing,add,2,2024-08-31 15:13:33
coleslaw dressing,add,3,2024-08-31 15:13:30
tajin,add,1,2024-08-31 15:13:24
banana pepper,add,1,2024-08-31 15:13:21
cajun,add,1,2024-08-31 15:13:17
#2 trays,add,2,2024-08-31 15:13:10
pancake waffle,add,1,2024-08-31 15:13:05
garlic aioli,add,2,2024-08-31 15:12:59
bbq sauce dip,add,7,2024-08-31 15:12:49
plumsauce,add,4,2024-08-31 15:12:23
grill brick,add,1,2024-08-31 15:12:17
cholula,add,1,2024-08-31 15:12:13
oil non stick,add,1,2024-08-31 15:12:10
pineapple,add,3,2024-08-31 15:12:02
beans,add,2,2024-08-31 15:11:57
hoisin,add,6,2024-08-31 15:11:52
whip cream,remove,2,2024-08-31 15:07:07
water,remove,22,2024-08-31 15:07:03
vinegar,remove,3,2024-08-31 15:06:59
tortilla,remove,4,2024-08-31 15:06:54
tomato,remove,5,2024-08-31 15:06:51
thunder chicken,remove,2,2024-08-31 15:06:49
thermal foil wrap,remove,6,2024-08-31 15:06:46
tajin,remove,1,2024-08-31 15:06:43
teriyaki,remove,1,2024-08-31 15:06:41
sugar,remove,1,2024-08-31 15:06:36
strawberries,remove,40,2024-08-31 15:06:34
sour cream,remove,6,2024-08-31 15:06:32
softshell crab,remove,2,2024-08-31 15:06:31
snowcrab,remove,1,2024-08-31 15:06:30
saran wrap,remove,3,2024-08-31 15:06:28
saran wrap,remove,2,2024-08-31 15:06:27
siracha,remove,4,2024-08-31 15:06:24
shrimp,remove,2,2024-08-31 15:06:23
shredded lettuce,remove,3,2024-08-31 15:06:21
shredded cheese,remove,1,2024-08-31 15:06:19
sauerkraut,remove,1,2024-08-31 15:06:18
salt packet,remove,1,2024-08-31 15:06:17
salt bag,remove,1,2024-08-31 15:06:15
salt box,remove,1,2024-08-31 15:06:14
salsa,remove,3,2024-08-31 15:06:12
ribeye,remove,2,2024-08-31 15:06:11
relish,remove,2,2024-08-31 15:06:09
red cabbage,remove,4,2024-08-31 15:06:07
ramen burger,remove,13,2024-08-31 15:06:06
prep butter,remove,2,2024-08-31 15:06:04
pot pan detergent,remove,1,2024-08-31 15:06:02
pork,remove,18,2024-08-31 15:06:00
plumsauce,remove,5,2024-08-31 15:05:58
pineapple,remove,3,2024-08-31 15:06:57
pico,remove,1,2024-08-31 15:05:55
pickles,remove,2,2024-08-31 15:05:54
pepper packet,remove,1,2024-08-31 15:05:52
peameal bacon,remove,7,2024-08-31 15:05:51
paper towels,remove,3,2024-08-31 15:05:49
pancake waffle,remove,1,2024-08-31 15:05:46
oil non stick,remove,1,2024-08-31 15:05:43
oil,remove,13,2024-08-31 15:05:42
napkins,remove,3,2024-08-31 15:05:40
mustard,remove,4,2024-08-31 15:05:39
mayo,remove,2,2024-08-31 15:05:36
lobster,remove,9,2024-08-31 15:05:35
lime juice,remove,2,2024-08-31 15:05:33
lemon juice,remove,2,2024-08-31 15:05:31
knife,remove,10,2024-08-31 15:05:29
ketchup squeezed,remove,7,2024-08-31 15:05:26
ketchup,remove,1,2024-08-31 15:05:25
jalapeno,remove,1,2024-08-31 15:05:24
hot dog,remove,9,2024-08-31 15:05:21
hoisin,remove,6,2024-08-31 15:05:19
hand soap,remove,1,2024-08-31 15:06:17
ground beef,remove,6,2024-08-31 15:05:15
grill brick,remove,2,2024-08-31 15:05:14
gravy,remove,10,2024-08-31 15:06:12
gloves vinyl,remove,8,2024-08-31 15:05:10
gloves poly,remove,7,2024-08-31 15:05:08
garlic aioli,remove,2,2024-08-31 15:05:06
fries,remove,81,2024-08-31 15:05:02
franks,remove,2,2024-08-31 15:05:01
forks,remove,10,2024-08-31 15:04:59
foil,remove,3,2024-08-31 15:04:57
doritos,remove,3,2024-08-31 15:04:56
eggs,remove,1,2024-08-31 15:04:55
doritos,remove,1,2024-08-31 15:04:53
dill,remove,1,2024-08-31 15:04:50
cream,remove,1,2024-08-31 15:04:49
corn,remove,19,2024-08-31 15:04:48
coleslaw dressing,remove,6,2024-08-31 15:04:45
coconut shred,remove,1,2024-08-31 15:04:44
coconut shred,remove,1,2024-08-31 15:04:42
clam chowder,remove,1,2024-08-31 15:04:40
cilantro,remove,2,2024-08-31 15:04:39
cholula,remove,1,2024-08-31 15:04:37
chocolate,remove,1,2024-08-31 15:04:36
chives,remove,1,2024-08-31 15:04:34
chili,remove,1,2024-08-31 15:04:33
chicken fingers,remove,11,2024-08-31 15:04:31
cheese sliced br,remove,2,2024-08-31 15:04:29
cheese sauce,remove,1,2024-08-31 15:04:27
cheese ribbons,remove,3,2024-08-31 15:04:26
cheese mozzarella,remove,4,2024-08-31 15:04:24
cheese curds,remove,9,2024-08-31 15:04:22
cheese cotija,remove,5,2024-08-31 15:04:21
checkered basket,remove,2,2024-08-31 15:04:19
cajun,remove,1,2024-08-31 15:04:18
cabbage,remove,3,2024-08-31 15:04:17
butter,remove,1,2024-08-31 15:04:16
burger lettuce,remove,5,2024-08-31 15:04:12
blueberry,remove,6,2024-08-31 15:04:08
blueberry filling,remove,4,2024-08-31 15:04:07
bleach,remove,2,2024-08-31 15:04:04
beef burgers,remove,14,2024-08-31 15:04:03
beans,remove,3,2024-08-31 15:04:01
bean sprouts,remove,3,2024-08-31 15:04:00
batter mix,remove,2,2024-08-31 15:03:59
banana pepper,remove,2,2024-08-31 15:03:57
banana,remove,1,2024-08-31 15:03:55
bacon,remove,21,2024-08-31 15:03:54
avacodo,remove,3,2024-08-31 15:03:52
apple fritter,remove,10,2024-08-31 15:03:50
red onions,remove,4,2024-08-31 15:03:49
krispy kreme,remove,80,2024-08-31 15:03:47
haddock fish,remove,17,2024-08-31 15:03:45
chipotle sauce,remove,2,2024-08-31 15:03:43
chipotle can,remove,3,2024-08-31 15:03:42
belgian waffle,remove,1,2024-08-31 15:03:41
bbq sauce dip,remove,7,2024-08-31 15:03:39
9 ounce cups,remove,2,2024-08-31 15:03:36
16 ounce cup,remove,3,2024-08-31 15:03:35
#8,remove,3,2024-08-31 15:03:34
200 savaday,remove,7,2024-08-31 15:03:33
#2 trays,remove,2,2024-08-31 15:03:26
#1,remove,6,2024-08-31 15:03:24
kimchi,remove,3,2024-08-30 13:27:10
strawberries,add,20,2024-08-30 12:35:35
krispy kreme,add,10,2024-08-30 12:17:17
softshell crab,add,2,2024-08-30 12:17:08
strawberries,add,20,2024-08-30 12:01:32
strawberries,remove,46,2024-08-30 12:01:31
bbq sauce,remove,2,2024-08-30 11:42:22
water,add,3,2024-08-30 11:31:40
water,add,4,2024-08-30 11:31:39
mayo,remove,1,2024-08-30 11:31:32
salsa,add,2,2024-08-30 11:31:21
water,remove,1,2024-08-30 11:30:20
thunder chicken,remove,3,2024-08-30 11:29:27
avacodo,remove,1,2024-08-30 11:29:21
lobster,remove,6,2024-08-30 11:29:16
cheese curds,add,7,2024-08-30 11:29:05
hot dog,add,8,2024-08-30 11:28:58
peameal bacon,add,5,2024-08-30 11:28:47
ribeye,add,1,2024-08-30 11:28:41
ground beef,add,3,2024-08-30 11:28:37
bacon,add,11,2024-08-30 11:28:27
bacon,add,7,2024-08-30 11:28:23
pork,add,4,2024-08-30 11:28:17
chicken fingers,remove,2,2024-08-30 11:28:10
apple fritter,remove,3,2024-08-30 11:27:50
beef burgers,add,8,2024-08-30 11:27:38
beef burgers,remove,19,2024-08-30 11:27:34
beef burgers,add,6,2024-08-30 11:27:34
snowcrab,remove,2,2024-08-30 11:27:25
peameal bacon,remove,2,2024-08-30 11:26:57
ground beef,remove,4,2024-08-30 11:26:53
ribeye,remove,2,2024-08-30 11:26:48
cheese curds,remove,14,2024-08-30 11:26:44
bacon,add,3,2024-08-30 11:26:37
bacon,remove,30,2024-08-30 11:26:36
hot dog,remove,8,2024-08-30 11:26:28
pork,add,14,2024-08-30 11:26:24
pork,remove,30,2024-08-30 11:26:23
cream,remove,1,2024-08-30 11:24:49
cilantro,remove,1,2024-08-30 11:24:21
shredded cheese,remove,1,2024-08-30 11:24:14
shredded lettuce,remove,1,2024-08-30 11:23:55
cabbage,remove,1,2024-08-30 11:23:48
tomato,add,1,2024-08-30 11:23:35
red onions,add,2,2024-08-30 11:23:21
red onions,remove,3,2024-08-30 11:23:14
relish,remove,1,2024-08-30 11:22:58
sauerkraut,remove,1,2024-08-30 11:22:47
pico,remove,2,2024-08-30 11:22:41
banana,remove,1,2024-08-30 11:22:19
krispy kreme,remove,50,2024-08-30 11:22:13
fries,add,1,2024-08-30 11:22:03
fries,add,4,2024-08-30 11:22:01
fries,add,4,2024-08-30 11:22:01
fries,add,4,2024-08-30 11:21:56
fries,add,4,2024-08-30 11:21:55
fries,add,6,2024-08-30 11:21:54
fries,add,4,2024-08-30 11:21:52
fries,add,4,2024-08-30 11:21:50
fries,add,50,2024-08-30 11:21:46
fries,remove,190,2024-08-30 11:21:45
corn,remove,11,2024-08-30 11:21:29
lemon juice,remove,1,2024-08-30 11:20:10
oil,add,1,2024-08-30 11:19:45
oil,add,12,2024-08-30 11:19:44
oil,remove,25,2024-08-30 11:19:43
ketchup squeezed,remove,1,2024-08-30 11:18:28
#1,remove,2,2024-08-30 11:18:20
tortilla,remove,1,2024-08-30 11:17:57
chipotle sauce,remove,1,2024-08-30 11:17:38
jalapeno,remove,1,2024-08-30 11:17:33
teriyaki,remove,1,2024-08-30 11:17:22
cheese sauce,remove,1,2024-08-30 11:17:14
ketchup,remove,1,2024-08-30 11:17:09
#2 trays,remove,1,2024-08-30 11:16:39
gloves vinyl,remove,1,2024-08-30 11:16:05
banana,add,2,2024-08-29 12:43:53
lobster,add,6,2024-08-29 12:43:03
lobster,add,2,2024-08-29 12:43:00
lobster,add,6,2024-08-29 12:42:57
lobster,add,1,2024-08-29 12:42:57
thunder chicken,add,5,2024-08-29 12:42:51
avacodo,add,4,2024-08-29 12:42:43
beef burgers,add,6,2024-08-29 12:42:35
cheese curds,add,9,2024-08-29 12:42:26
peameal bacon,add,4,2024-08-29 12:42:18
ribeye,add,2,2024-08-29 12:42:13
ground beef,add,5,2024-08-29 12:42:09
hot dog,add,6,2024-08-29 12:42:00
bacon,add,5,2024-08-29 12:41:51
ramen burger,add,13,2024-08-29 12:41:42
pork,add,20,2024-08-29 12:41:18
bacon,add,6,2024-08-29 12:41:09
bacon,add,10,2024-08-29 12:41:05
clam chowder,add,1,2024-08-29 12:40:55
chili,add,1,2024-08-29 12:40:52
shrimp,add,2,2024-08-29 12:40:48
chicken fingers,add,4,2024-08-29 12:40:42
blueberry,add,6,2024-08-29 12:40:33
haddock fish,add,6,2024-08-29 12:40:26
apple fritter,add,13,2024-08-29 12:40:20
chicken fingers,add,9,2024-08-29 12:40:11
beef burgers,add,6,2024-08-29 12:40:04
beef burgers,add,7,2024-08-29 12:40:03
snowcrab,add,3,2024-08-29 12:39:48
cheese curds,add,5,2024-08-29 12:39:42
haddock fish,add,8,2024-08-29 12:39:32
haddock fish,add,3,2024-08-29 12:39:30
burger lettuce,add,1,2024-08-29 12:39:01
ribeye,add,1,2024-08-29 12:38:54
cheese curds,add,2,2024-08-29 12:38:50
ground beef,add,2,2024-08-29 12:38:45
bacon,add,9,2024-08-29 12:38:39
hot dog,add,3,2024-08-29 12:38:28
pork,add,10,2024-08-29 12:38:21
whip cream,add,3,2024-08-29 12:36:54
whip cream,remove,1,2024-08-29 12:36:54
tomato,add,4,2024-08-29 12:36:48
strawberries,add,6,2024-08-29 12:36:34
strawberries,add,6,2024-08-29 12:36:33
strawberries,add,4,2024-08-29 12:36:31
strawberries,add,30,2024-08-29 12:36:27
sour cream,add,6,2024-08-29 12:36:24
shredded lettuce,add,1,2024-08-29 12:36:10
shredded lettuce,add,3,2024-08-29 12:36:06
shredded cheese,add,2,2024-08-29 12:35:54
relish,add,3,2024-08-29 12:35:48
red cabbage,add,4,2024-08-29 12:35:39
pico,add,3,2024-08-29 12:35:35
pickles,add,2,2024-08-29 12:35:30
kimchi,add,3,2024-08-29 12:35:11
bean sprouts,add,1,2024-08-29 12:34:42
fries,add,4,2024-08-29 12:34:15
fries,add,4,2024-08-29 12:34:15
fries,add,4,2024-08-29 12:34:14
fries,add,4,2024-08-29 12:34:14
fries,add,3,2024-08-29 12:34:11
fries,add,4,2024-08-29 12:34:05
fries,add,4,2024-08-29 12:34:02
fries,add,40,2024-08-29 12:34:00
fries,add,40,2024-08-29 12:33:57
fries,add,8,2024-08-29 12:33:35
fries,add,12,2024-08-29 12:33:33
fries,add,3,2024-08-29 12:33:31
fries,add,60,2024-08-29 12:33:27
eggs,add,1,2024-08-29 12:33:19
dill,add,1,2024-08-29 12:33:16
cream,add,2,2024-08-29 12:33:09
corn,add,3,2024-08-29 12:33:01
corn,remove,3,2024-08-29 12:32:59
corn,add,30,2024-08-29 12:32:57
cilantro,add,3,2024-08-29 12:32:50
chocolate,add,1,2024-08-29 12:32:33
chives,add,1,2024-08-29 12:32:23
cheese sliced br,add,2,2024-08-29 12:32:15
cheese ribbons,add,3,2024-08-29 12:32:13
cheese mozzarella,add,4,2024-08-29 12:32:07
cheese cotija,add,5,2024-08-29 12:32:00
cabbage,add,4,2024-08-29 12:31:48
butter,add,1,2024-08-29 12:31:41
burger lettuce,add,4,2024-08-29 12:31:36
bean sprouts,add,2,2024-08-29 12:30:42
red onions,add,5,2024-08-29 12:30:35
krispy kreme,add,120,2024-08-29 12:30:08
tortilla,add,2,2024-08-29 12:22:23
teriyaki,remove,1,2024-08-29 12:18:17
salt box,remove,1,2024-08-29 12:17:54
salsa,remove,2,2024-08-29 12:17:52
paper towels,remove,1,2024-08-29 12:17:09
water,remove,9,2024-08-29 12:17:03
mayo,remove,2,2024-08-29 12:16:58
pot pan detergent,remove,6,2024-08-29 12:16:42
paper towels,remove,1,2024-08-29 12:16:09
oil,add,25,2024-08-29 12:15:55
oil,remove,37,2024-08-29 12:15:39
napkins,remove,4,2024-08-29 12:15:36
gravy,remove,19,2024-08-29 12:14:49
forks,remove,8,2024-08-29 12:13:59
doritos,remove,7,2024-08-29 12:13:07
beans,remove,1,2024-08-29 12:12:15
belgian waffle,remove,1,2024-08-29 12:11:51
bbq sauce dip,remove,2,2024-08-29 12:11:32
16 ounce cup,remove,1,2024-08-29 12:11:08
#8,remove,3,2024-08-29 12:11:00
#1,remove,2,2024-08-29 12:10:36
teriyaki,add,3,2024-08-28 11:52:56
water,add,20,2024-08-28 11:50:43
water,add,5,2024-08-28 11:50:39
water,remove,21,2024-08-28 11:50:38
whip cream,remove,3,2024-08-28 11:50:22
tortilla,remove,2,2024-08-28 11:50:15
tomato,remove,3,2024-08-28 11:50:14
thunder chicken,remove,16,2024-08-28 11:50:13
teriyaki,remove,3,2024-08-28 11:50:10
tajin,remove,1,2024-08-28 11:49:42
strawberries,remove,18,2024-08-28 11:49:33
sour cream,remove,7,2024-08-28 11:49:31
softshell crab,remove,2,2024-08-28 11:49:29
snowcrab,remove,4,2024-08-28 11:49:28
shrimp,remove,11,2024-08-28 11:49:22
shredded lettuce,remove,4,2024-08-28 11:49:19
shredded cheese,remove,3,2024-08-28 11:49:18
jalapeno,remove,1,2024-08-28 11:49:02
salsa,remove,3,2024-08-28 11:48:57
ribeye,remove,4,2024-08-28 11:48:43
relish,remove,3,2024-08-28 11:48:42
red cabbage,remove,4,2024-08-28 11:48:41
ramen burger,remove,2,2024-08-28 11:48:37
pot pan detergent,add,2,2024-08-28 11:48:34
pork,remove,38,2024-08-28 11:48:32
plumsauce,remove,1,2024-08-28 11:48:28
pineapple,add,2,2024-08-28 11:48:22
pico,remove,6,2024-08-28 11:48:18
pickles,remove,4,2024-08-28 11:48:16
peameal bacon,remove,12,2024-08-28 11:48:14
paper towels,remove,1,2024-08-28 11:48:13
pancake waffle,remove,1,2024-08-28 11:48:06
old bay,remove,6,2024-08-28 11:48:02
oil,add,5,2024-08-28 11:47:50
oil,add,1,2024-08-28 11:47:44
oil,add,1,2024-08-28 11:47:43
oil,add,9,2024-08-28 11:47:41
oil,add,9,2024-08-28 11:47:39
oil,add,12,2024-08-28 11:47:35
oil,remove,24,2024-08-28 11:47:34
mustard,add,1,2024-08-28 11:47:19
lobster,remove,10,2024-08-28 11:47:14
kimchi,remove,7,2024-08-28 11:47:01
ketchup squeezed,remove,2,2024-08-28 11:47:00
ketchup,remove,1,2024-08-28 11:46:53
hot dog,remove,18,2024-08-28 11:46:42
hoisin,remove,1,2024-08-28 11:46:40
hand soap,remove,1,2024-08-28 11:46:33
ground beef,remove,10,2024-08-28 11:46:30
gravy,add,9,2024-08-28 11:46:24
gloves vinyl,remove,1,2024-08-28 11:46:19
gloves poly,remove,1,2024-08-28 11:46:14
garlic aioli,remove,2,2024-08-28 11:45:06
fries,remove,160,2024-08-28 11:46:03
franks,remove,2,2024-08-28 11:45:01
forks,add,8,2024-08-28 11:45:58
eggs,remove,3,2024-08-28 11:45:46
dill,remove,1,2024-08-28 11:45:42
cream,remove,2,2024-08-28 11:45:41
corn,remove,25,2024-08-28 11:45:40
clam chowder,remove,2,2024-08-28 11:45:32
cilantro,remove,3,2024-08-28 11:45:29
ciabatta,remove,3,2024-08-28 11:45:28
chocolate,remove,5,2024-08-28 11:45:20
chives,remove,1,2024-08-28 11:45:19
chili,remove,2,2024-08-28 11:45:16
chicken fingers,remove,19,2024-08-28 11:45:14
cheese sliced br,remove,3,2024-08-28 11:45:13
cheese sauce,remove,1,2024-08-28 11:45:11
cheese mozzarella,remove,5,2024-08-28 11:45:07
cheese ribbons,remove,4,2024-08-28 11:45:07
cheese curds,remove,30,2024-08-28 11:45:04
cheese cotija,remove,5,2024-08-28 11:45:02
checkered basket,remove,1,2024-08-28 11:45:00
cajun,remove,1,2024-08-28 11:44:57
cabbage,remove,3,2024-08-28 11:44:52
butter,remove,2,2024-08-28 11:44:51
burger lettuce,remove,6,2024-08-28 11:44:48
blueberry,remove,7,2024-08-28 11:44:45
bleach,add,1,2024-08-28 11:44:41
beef burgers,remove,30,2024-08-28 11:44:37
bean sprouts,remove,3,2024-08-28 11:44:32
banana pepper,remove,1,2024-08-28 11:44:29
bacon,remove,24,2024-08-28 11:44:21
avacodo,remove,8,2024-08-28 11:44:20
red onions,remove,4,2024-08-28 11:44:17
krispy kreme,remove,110,2024-08-28 11:44:15
haddock fish,remove,20,2024-08-28 11:44:14
16 ounce cup,add,1,2024-08-28 11:43:39
#8,remove,1,2024-08-28 11:43:27
#1,remove,3,2024-08-28 11:43:23
napkins,remove,1,2024-08-28 11:43:16
mayo,remove,1,2024-08-27 12:01:01
water,add,9,2024-08-27 12:00:56
water,add,12,2024-08-27 12:00:53
water,remove,30,2024-08-27 12:00:52
pineapple,remove,1,2024-08-27 12:00:27
oil,add,18,2024-08-27 11:59:54
oil,add,1,2024-08-27 11:59:54
oil,add,2,2024-08-27 11:59:49
oil,add,3,2024-08-27 11:59:48
oil,remove,28,2024-08-27 11:59:47
salt box,add,1,2024-08-27 11:59:35
paper towels,remove,1,2024-08-27 11:59:11
#8,remove,4,2024-08-27 11:58:53
#1,remove,1,2024-08-27 11:58:45
napkins,remove,1,2024-08-27 11:58:40
16 ounce cup,remove,1,2024-08-27 11:58:27
checkered basket,remove,1,2024-08-27 11:58:04
#2 trays,remove,1,2024-08-27 11:56:15
gloves vinyl,remove,1,2024-08-27 11:56:27
forks,remove,4,2024-08-27 11:55:19
mustard,add,3,2024-08-27 11:55:01
mustard,remove,1,2024-08-27 11:55:00
ribeye,remove,1,2024-08-26 10:58:09
avacodo,add,8,2024-08-26 10:57:55
lobster,add,10,2024-08-26 10:57:48
thunder chicken,add,16,2024-08-26 10:57:41
cheese curds,add,11,2024-08-26 10:57:29
ground beef,add,6,2024-08-26 10:57:21
ribeye,add,4,2024-08-26 10:57:15
peameal bacon,add,9,2024-08-26 10:57:11
ramen burger,add,2,2024-08-26 10:57:04
hot dog,add,12,2024-08-26 10:56:58
hot dog,add,4,2024-08-26 10:56:49
blueberry,add,2,2024-08-26 10:56:40
bacon,add,5,2024-08-26 10:56:35
beef burgers,add,24,2024-08-26 10:56:16
bacon,add,10,2024-08-26 10:55:42
beef burgers,add,6,2024-08-26 10:55:33
pork,add,2,2024-08-26 10:55:23
pork,add,18,2024-08-26 10:55:21
blueberry,add,5,2024-08-26 10:55:09
cheese curds,add,9,2024-08-26 10:54:44
snowcrab,add,4,2024-08-26 10:54:36
softshell crab,add,2,2024-08-26 10:54:29
chicken fingers,add,3,2024-08-26 10:54:19
chicken fingers,add,16,2024-08-26 10:54:17
shrimp,add,11,2024-08-26 10:53:57
chili,remove,1,2024-08-26 10:53:43
clam chowder,add,2,2024-08-26 10:53:35
